start	end	text
0	25400	¡Puro memes se están tirando estos! ¡Ay, jóvenes! ¿Y qué están haciendo con ese
25400	31160	montón de memes, hombre? Bueno, pero miren, yo tengo que hacer el trabajo que hemos venido
31160	39880	a hacer. Les voy a mandar algo yo allí, solo para que sepan que yo les estoy escribiendo,
39880	46760	¿sí? Ustedes lo van a ver ahí. Sí, estábamos hablando de memes y yo les pongo ahí que dejen
46760	52760	de mandar memes. Sí, ya lo vieron, ¿verdad? Listo. Entonces ustedes tienen que saber que soy yo el que
52760	60160	está ahí, que les está respondiendo. Y aunque no estemos en las cuatro horas de trabajo aquí,
60160	66720	que de 10 a 2, yo por la tarde igual lo sigo leyendo en este chat. Lo que pasa es que tengo
66720	75280	un montón de gente, entonces digo, somos más de 640, sin contar los presenciales, ¿no? Entonces
75280	84720	hagan alguna consideración ahí que no les puedo responder a todos. Bien, segundo, quiero agradecerle
84720	93640	de las personas que están en el online a Francisco Manuel Gallardo, que ha hecho como un resumen de
93640	99880	todo lo que trabajamos ayer y lo compartió con los demás que están online. Un resumen bien,
100320	111080	yo creo que muy bien elaborado de todo lo que estudiamos ayer. Segundo, hay una pregunta de lo
111080	120760	que hicimos ayer que dice así. Puede ser que ustedes tengan la misma duda. Dice, bueno,
120760	125040	la pregunta se la enviaron a Raúl y Raúl me la pasó a mí. Dice, bueno día Raúl y todo el equipo,
125040	130440	muchas gracias por la excelencia y dedicación que han puesto en su trabajo. Si no es mucho
130440	136280	molestia, podrías preguntar a Jaime con respecto al primer ejemplo que dio sobre la entrada en la
136280	144400	divergencia alcista dentro de una tendencia bajista o entrada bajista, porque en ese caso el ADX con
144400	151440	fuerza no es considerado. Muchas gracias. Y lo escribió Ana Carolina Álvarez. Con eso vamos a
151440	156240	comenzar. Vamos a revisar eso y voy a tener los dos celulares aquí para que sepan que yo estoy
156240	165800	respondiendo. Miren, bien, vamos. Las temporalidades cuando nosotros veamos, miren aquí,
165800	173600	llevamos una pendiente negativa con direccionalidad bajista. Esto es un lateral. Al ser un lateral,
173600	180520	porque, a ver, esto es un gráfico de 15 minutos. Si se fijan, tenemos máximos cada vez más altos.
180800	189720	Entonces, la temporalidad que predomina es la más alta. La más alta. Entonces, si nos vamos a la más
