start	end	text
0	29120	vamos al spot infinity grid vamos a buscar una tendencia alcista que ya tenga un retroceso
29120	35760	un rompe y apoya que recuerden que ustedes tienen todo el material de apoyo pero vuelve a nuevo
35760	42240	entonces viene el scalping dice sí pero relajaditos de aquí no nos vamos hasta que todo se cubre el
42240	50960	contenido si se escucha bien fuerte y claro bien entonces deme en una cripto o lo que sea
50960	53040	una acción que tenga un rompe y apoya
58080	65040	y bueno comencemos entonces en diario porque como estamos en spot todavía
65040	79800	me dijeron
82680	88240	bien vamos aquí con ios
88240	95240	pero en semanal no
98000	104240	singularity si muy larga no es que aquí vamos al spot infinity y necesitamos
104240	110000	necesiten miren necesitamos detectar una tendencia en una onda 2
113200	118080	en diario recuerden que las tendencias hemos dicho que son diarias semanales y mensuales
118080	128600	y como siempre yo lo hago en bitcoin únicamente pero como no estoy ahí
133760	143400	no porque ese ese ese no no esa no o sea el movimiento está bien para operarse en
143400	150960	spot así pero no con un spot infinity grid eso está bien así pero con un spot infinity
150960	163920	grid no necesito agarrarlo en onda 2 después de un rango vamos a ver ftm jesus lo de ok ok
163920	175000	a ver león dice bch dot elber
177480	185240	que intentemos con que y carlos losano yo quiero tener fe ya saben ustedes por qué
185240	190280	verdad yo tengo que ir también pero ojalá que sí vamos a ver
190280	197760	vamos a ver que y que en el gráfico diario uno
206560	215720	está un poquito pasadito debería de ser aquí porque aquí aquí sí sigue siendo el cista pero
215720	226120	yo creo que en el semanal ve entonces lo voy a hacer en el semanal pero tengan en cuenta que
226120	232520	aquí llevamos a unos seis meses entonces el patrón que yo andaba buscando es este que es
232520	239240	una onda 1 así se acuerdan que hablamos que el movimiento suele ser así bueno esto me queda muy
239840	252320	exagerado verdad pero debería de ser 0 1 2 este es el que ando buscando aquí en gráfico diario
254320	256480	el cual perdón
256480	279880	en el semanal ya está muy desarrollado como para hacer un spot infinity grid ahí acuérdense que si
279880	286880	nosotros o sea en el diario sí lo vamos a ver así es el lateral ya finalizado sin embargo en
286880	295960	el semanal nosotros determinamos en qué zona estamos yo considero que ahí o sea honestamente
295960	302120	yo no me metería en un spot infinity grid ahí es como hacerlo en solana yo no lo haría en solana
302120	307560	y el gráfico es similar si lo van a ver en un semanal
311400	314200	recuerden que hemos dicho que son zonas no operables
320320	330800	permití la icon dice eduardo engine la icon eduardo dice la icon pero acordate vaya eduardo
332760	339240	desde que estamos en 70 dólares les puse una tremenda flecha no me vayan a porque le dije
339240	344320	arriba de 100 dólares no me inviten y esa invitación que me están haciendo esta noche
344320	354240	la noche verdad se me escapa miren vamos a ver en el diario
354240	364080	pero está bueno está en 100 dólares arriba de 100 dólares le dije que no me inviten pero
364080	370600	vamos a hacer de cuento y caso que es tres centavos me lo voy a ignorar es que la verdad es que no
370600	388720	puedo abrir la y rose quien más a ver pero vamos a sólo top 50 porfa león dice bsh lateral
388720	393560	hay me dice vamos a ver bsh tratemos darnos al top 50 en serio porque también yo estoy
393560	400680	operando con 10.000 dólares allí pues sí o sea dice que no ustedes o sea no
402760	407200	no quiero perder pues vaya o sea yo sé que puedo perder unos 20 dólares pero tampoco vengo a
407200	412400	perder entonces no me den cositas así muy no es que me duelen ni que sea tacaño pero en
412400	420960	en bsh creo que no voy a perder porque no es basura tampoco bien en el gráfico diario vamos
420960	425520	a ver bsh acaba de romper dice pero este es un análisis que hicimos creo
430240	431840	ok vamos a hacer algo
437320	443760	entre bsh y xrp va a estar complicada la cosa para decidirme esta está bien pero en un gráfico
443760	453560	de cuatro horas para el ejercicio está a ver déjame ver en el diario no está mal en el
453560	462200	semanal le queda recorrido es bueno para a nivel educativo yo lo puedo hacer pero ya le dije siempre
462200	467960	que este es que lo que pasa es que en todas partes va a estar así en un semanal esa es la
467960	470960	mera verdad así va a estar y ustedes saben que allí no
478800	484560	vamos a ir en orden voy a ir a ver xrp y si no vemos ninguna pues ni modo yo lo voy a abrir
484560	487880	y porque me toca pero ustedes no vayan a entrar ahí
487880	496080	fíjense que esta cosa en un gráfico semanal tiene tendencia el cista quiero ver
498080	506600	esto parece que xrp estaba en 50 bueno pero ya no importa xrp en el diario miren ese lateral
506600	512000	que está haciendo xrp ahí se imaginan nosotros agarrarlo por aquí en un grid neutral así por
512000	524880	aquí tantas meses jalándole en la teta esta cosa no o sea pero me refiero a la vaca no para sacarle
524880	532840	la leche es que lo que pasa es que lo que uno bueno yo lo que busco es tener tiempo y dinero
532840	540240	entonces cuando yo veo cosas así que se acuerdan que les dije si ustedes detectan algo como esto y
540240	548040	le meten un neutral sabiendo que xrp también puede ser traidor como judas le digo yo pero malo para
548040	555720	ganar no es porque si se vean judas de cuántas monedas de plata se llevó alguien se acuerda 30
558800	560720	es por eso le digo judas a este
561560	575520	si va a decir aquí roquín es este roberto si va a decir si ha hecho en diario no esas cosas no
577680	578360	eso no
