start	end	text
0	19020	y
30000	55560	bien amigos vamos a continuar los que están en línea por favor recuerden que no hay sonido dice
55560	60640	como no los espero real jaime está muy bajo el volumen del audio que me acerco un poquito
60640	69080	de esto si si ok vamos a ver adrián adrián dice no hay sonido a perfecto me alegro bueno digo
73280	80360	amigos vamos a continuar por favor me confirman si me escuchen los que están en línea quiero
80360	90680	mostrarles algo si ya estamos bien si se escucha listo los leo santiago dice que sí león ready
90680	98600	como no cristian jose pablo al punto si nosotros comenzando estamos pablo beto spoto te veo la
98600	104760	media y se pasó rápido ajá jacobo bruno santiago
107840	116400	ok perfecto continuamos bien ahora quiero que vean unos ejemplos que ya tienen resultado
116400	122360	de los análisis que yo hago a veces bueno no a veces hombre que los hago casi siempre en youtube
122680	131360	pero es bonito ver el resultado también porque hay aciertos y hay errores no entonces si se fijan
132520	138040	aquí hay cuatro operaciones de esas cuatro operaciones que están en pantalla y tres que
138040	145320	están en verde y una que está en rojo lo que vamos a hacer a hacer es ver por qué en el momento
145320	152360	en que de hecho ese es un alguien quien fue que me dijo aquí que tenía un long en matic
155800	161320	vaya ahora va a ver usted porque ese era un short no un long mire es esta que está aquí
161320	168000	si usted se fija yo yo marcaba que ese era un short desde el libro no mire
168000	179720	sí sí lo esto es una temporalidad de cuatro horas si ustedes se fijan aquí en este punto
179720	186520	el precio se quiebra aquí hacia un lateral el precio toca el punto cero toca la media y
186520	191960	ni siquiera logra romper entonces aquí era un short por qué porque aquí se forma un pequeño
191960	200120	valle verde y el precio para ganan o sea no sube se supone que cuando nosotros tenemos el monitor aquí
202120	209160	esto debería de estar aquí no aquí por eso abrí un short ahí
212000	217200	tiene fuerza para abajo y va a seguir cayendo más obviamente siempre van a ver velita verdes
217680	223400	pero si ustedes se fijan es una entrada casi perfecta ve o sea les voy a poner una línea
223400	229600	y para los que están aquí miren cuando ustedes vean esto nosotros ya estudiamos eso la tendencia
229600	239240	es bajista que ya le estudiamos el precio viene por debajo de la media de 55 bien estos movimientos
239240	246080	que están aquí lo voy a hacer acá mejor es que los que están en línea seguramente no me van a
246080	250240	ver estos pedazos miren
252480	258880	cómo saber si esa ese pedacito es un cambio de tendencia real o no porque eso es lo que
258880	265560	me preguntan a veces que no ya se dio el cruce no es que no es el cruce es qué distancia tengo
265560	276000	desde aquí hasta aquí si yo tengo una distancia muy importante entre la de 55 y la de 10 es
