start	end	text
0	18640	♥
24080	24920	Bien
26600	28600	Bueno, vamos a esperar un minutito más
28600	29900	mientras
30000	35000	van tomando su cafecito ahí, tranquilos.
35000	41000	Hoy, por fin, vamos a llegar a la parte que más me gusta a mí,
41000	47000	que es la parte operativa, porque la parte teórica es la que,
47000	51000	no es que no me guste, sino que es la que
51000	54000	es un poquito aburrida, para la gente, no.
54000	59000	Ahora que ya vamos a irnos a darnos allí en el mercado, en el presente,
59000	63000	ya van a ver que las cosas se vuelven diferentes,
63000	68000	porque en el pasado lo vemos todo fácil.
68000	71000	Cuando ya nos vamos a meter a la velita del presente,
71000	76000	es cuando no sabemos qué hacer.
76000	80000	Qué bonito el presente siempre, ¿no?
80000	84000	Siempre estamos en el presente.
84000	90000	Miren, amigos, ya los amigos del online
90000	96000	ya tienen claro cuáles son los patrones no operables.
96000	103000	Y los de salida básicamente son, digamos, el contrario al de entrada.
103000	106000	Como ustedes los vimos ayer, pero quiero repasarlos
106000	111000	antes de ya abrir el Exchange y comenzar a practicar.
111000	115000	Miren, y de paso, los que estaban en el virtual conmigo,
115000	123000	previo a ustedes, los reforzamos.
123000	128000	Vamos a comenzar aquí, miren.
128000	131000	Bueno, este no, este lo vimos ayer.
131000	134000	Este también.
134000	140000	Este también, con ustedes, creo, aquí.
140000	144000	Antes de que ustedes vinieran, yo les estaba explicando
144000	148000	a la comunidad que está en virtual
148000	154000	cuál es la diferencia entre un te joden y una duda.
154000	160000	La duda siempre se da en medio de una onda tres.
160000	166000	La onda tres, de acuerdo a Elliot, es este movimiento, miren.
166000	170000	Ya van a ver, ya se los pongo.
170000	174000	Aquí tenemos un movimiento dentro de una tendencia alcista.
174000	178000	Este documento ustedes lo tienen, ¿verdad? Todos.
178000	181000	Vaya.
181000	186000	Esto es básicamente tal cual como se mueve el precio.
186000	191000	Miren, la onda uno, aquí será que puedo dibujar, no, ¿verdad?
191000	194000	Sí, sí.
214000	218000	Quedó un poco feo, pero me gusta.
218000	222000	Esa línea roja que yo he puesto allí, imagínense usted
222000	227000	que es la media móvil de 55 periodos.
227000	234000	Y que la onda cero es esta
234000	240000	y esta es una tendencia claramente bajista que usted ya la vio.
240000	245000	O sea, el precio viene siempre por debajo de la media móvil de 55.
245000	250000	En la onda uno siempre es difícil de identificarla porque ese es un rebote alcista
250000	254000	en la media para seguir cayendo.
254000	259000	Pero cuando se da este movimiento en onda uno,
259000	266000	viene acompañado del cruce de la otra media móvil, azul, más o menos por este punto.
266000	271000	El monitor suele estar rojo girándose a la alza por aquí.
271000	278000	Y el ADX suele tener una pendiente positiva así girada.
278000	283000	Normalmente suele ser así. Entonces cuando nosotros tenemos este patrón,
283000	290000	la onda dos cae sobre la media de 55 en este punto, no.
290000	295000	Entonces en ese punto es cuando nosotros determinamos que tenemos un patrón,
295000	301000	una entrada alcista, pues. O sea, ahí LON y el STOP lo calculamos al 2-3%
301000	305000	dependiendo del riesgo de cada uno y para arriba.
305000	312000	Ahora, después de que rompa la onda uno, en este punto que les estoy marcando,
312000	318000	se da una zona de duda aquí.
318000	323000	Que en Elliot eso no se ve. Claramente allí no se ve
323000	330000	porque cuando Elliot estaba vivo, digamos que no existía un activo
