start	end	text
0	4280	arrancamos.
25300	29660	Muy bien, amigos. Buen día.
29660	33840	ustedes con los que están en línea, entonces si me escuchan les agradezco que
33840	38720	me escriban por el chat para saber si me escuchan bien y vamos a ir haciendo el
38720	40720	repaso
43560	53800	los leo Angie, Jacob, Brandon, Luis, Jesús, ¿todo bien?
53960	62080	Jorge dice que sí, Sebastián, Luis, Julián, al punto, al punto nada, vamos a repasar
62080	66160	tranquilos que ya vamos a ir, hoy vamos a operar pero a partir de las 10 de la
66160	72680	mañana, estoy una hora antes con ustedes porque ayer se nos cayó un momento el
72680	79320	internet, entonces la idea no puede estar, quizá no esté completa, así que
79320	88360	vamos a repasar los patrones de salida y los no operables con ustedes para que
88360	93960	ya estén digamos como al mismo nivel de los que están en presencial conmigo, sí,
93960	98520	eso es lo que vamos a hacer, ahora
98520	104760	igual en esta hora vamos a tener unos 10 o 15 minutitos para preguntas antes
104760	109400	de que vengan los presenciales, entonces
109400	114720	miren yo ya tengo la lista de preguntas que me dejaron, no se las puedo
114720	121800	contestar todas en público pero sí les prometo que les voy a responder a todos
121800	127720	por correo electrónico en las que sean un poco más delicadas, ¿me entienden?
127920	132280	porque hay cosas que no se pueden decir en público
132280	134640	bien
135800	141240	ya me confirmaron que se escucha bien, ya los estoy leyendo en el chat, entonces
141240	148440	permítame, vamos a... voy a abrir aquí el documento que tengo
157720	164000	bien, vamos a comenzar con el primer patrón entonces, déjenme voy a bajar hasta que
164000	171600	lleguemos al punto, esto ya lo pasamos, este también
171600	175200	este también
175200	180400	este lo vimos ayer, este también, ok
186640	193320	bien, vamos a ver el segundo patrón, vamos a ver el segundo
193320	199320	patrón, vamos a ver el segundo, vamos a ver el segundo, vamos a ver el segundo
199320	208160	bien, vamos a comenzar con la diferencia de cómo identificar cuando estás en una
208160	216160	zona de un te joden que yo le llamo así porque literalmente el precio cae y
216160	222440	rompe a la baja y nos agarra los stop, ¿les parece por ahí o bajo un poquitito
222440	225200	más?
225400	231560	decinos la página, no, a ver son 29 páginas, usted solo busca el gráfico,
231560	235520	está ya casi al final, ¿no?
237520	245880	vaya a la página número 20 y déjame ver, voy a abrir el otro pues
255200	263200	el que tiene usted es este, el que ya está como bonito, ¿no? el que ando yo es el que yo hice, así todo
263200	267200	todo bonito
267200	271200	pero aquí ya está enumerado, ya se lo pongo
275200	283200	¿les parece que comencemos en la página número 25 o retrocedemos un poquito en la página 25?
283200	289200	¿o retrocedemos un poquito aquí? ¿que es donde me quedé ayer?
289200	294200	desde el te joden, ¿verdad? es que yo creo que por allí es que ustedes no lo
294200	300200	no lo han agarrado, este quedó claro
300200	306200	este que yo creo que este quedó claro, ¿verdad? si 25, perfecto
310200	313200	bien miren
313200	318200	cuando se dan estos movimientos en la parte teórica quiero que sepan que va a
